id,pour_volume,pressure,comment,ph,hysteresis,sg,time,count,volume_unit,rssi,temp,temp_target,device_integration,fridgeTemp,report_source,percentage,device_source,bpm,roomTemp,gravity_target,battery,volume,device_state,max_volume,beer,angle,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint
KOMORA,,,,,,,1751120356529,,,,13.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,BaRcks06t92hIFleXGYN,2025-06-28T14:19:16.529Z
KOMORA,,,,,,,1751116726375,,,,13.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,yyIi5EfryKPRdU8B3lXL,2025-06-28T13:18:46.375Z
KOMORA,,,,,,,1751113126641,,,,13.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,wG1h5gKgUsLZ0K6ElsrK,2025-06-28T12:18:46.641Z
KOMORA,,,,,,,1751109518828,,,,13.5,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,5pRocJN5OnIEkcnzI4Rr,2025-06-28T11:18:38.828Z
KOMORA,,,,,,,1751105918124,,,,13.6,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,cdHScaBOAwLS364ivQcg,2025-06-28T10:18:38.124Z
KOMORA,,,,,,,1751102319123,,,,13.7,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,2HG0IuYzZIpdT1bIeHFu,2025-06-28T09:18:39.123Z
KOMORA,,,,,,,1751098728913,,,,13.8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,nEPAliwUNq6YVpBuUaMr,2025-06-28T08:18:48.913Z
KOMORA,,,,,,,1751095111584,,,,13.6,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,uDjZCKabS8QWwB8xTEIg,2025-06-28T07:18:31.584Z
KOMORA,,,,,,,1751091510091,,,,13.5,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,4BzJNZJUdV86VdIwQYlt,2025-06-28T06:18:30.091Z
KOMORA,,,,,,,1751087911988,,,,14.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,vd9qdPnqylFrRHUzHmuo,2025-06-28T05:18:31.988Z
KOMORA,,,,,,,1751084311760,,,,14.9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,TRPkqK6JEsATUNi5CfPR,2025-06-28T04:18:31.760Z
KOMORA,,,,,,,1751080711076,,,,15,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,G17LnFLtilhxTRRaJu7i,2025-06-28T03:18:31.076Z
KOMORA,,,,,,,1751077121336,,,,15.7,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,urayy1O0hKKFRdikHYVO,2025-06-28T02:18:41.336Z
KOMORA,,,,,,,1751073494762,,,,17,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,mqr6jssLhgGq47Gs7bWh,2025-06-28T01:18:14.762Z
KOMORA,,,,,,,1751069894074,,,,17.8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,zez6JMqkTLavSgTW51nF,2025-06-28T00:18:14.074Z
KOMORA,,,,,,,1751066292692,,,,18.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,XPDprvzTbmKGtQ2AN8VJ,2025-06-27T23:18:12.692Z
KOMORA,,,,,,,1751062691993,,,,19.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,BNE0KkZkrNCjJhkARaKq,2025-06-27T22:18:11.993Z
KOMORA,,,,,,,1751059093383,,,,19.9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,AFJvCRzMespJqXxoMaiw,2025-06-27T21:18:13.383Z
