fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742053128219,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,iFgAZZIBm9JYxDOBrFOo,2025-03-15T15:38:48.219Z
,,0.1,1.01,,,,,,default,,,stream,,,,,,1742049526167,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,gv8Q06wddwuC5cwicG3K,2025-03-15T14:38:46.167Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742045926262,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,4Xikkf44R2nIQfNGNvGz,2025-03-15T13:38:46.262Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742042326967,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,frRJzbI0JQMDhj3dZNCZ,2025-03-15T12:38:46.967Z
,,0.1,1.01,,,,,,default,,,stream,,,,,,1742038725666,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,VX68CZeWAPbSEAXwnB0R,2025-03-15T11:38:45.666Z
,,0,1.01,,,,,,default,,,stream,,,,,,1742035125120,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,0wTlz6zwC4O6QQvEfKaB,2025-03-15T10:38:45.120Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742031525229,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,8FvDhvOyDQOy3bSE0W74,2025-03-15T09:38:45.229Z
,,-0.1,1.01,,,,,,default,,,stream,,,,,,1742027925232,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,Jc0XU0IyjWQjIw0x6vzS,2025-03-15T08:38:45.232Z
,,0.1,1.01,,,,,,default,,,stream,,,,,,1742024324887,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,6r9YeddtbWSSDfEjq9S5,2025-03-15T07:38:44.887Z
,,-0.3,1.01,,,,,,default,,,stream,,,,,,1742020724489,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,YYZPTHMUFuAynSM4luqg,2025-03-15T06:38:44.489Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742017124514,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,p0rIxCwA6WHoy6qWL8Ey,2025-03-15T05:38:44.514Z
,,0,1.01,,,,,,default,,,stream,,,,,,1742013525761,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,KYHNs2YkqUKeeYkyl8uP,2025-03-15T04:38:45.761Z
,,0.8,1.01,,,,,,default,,,stream,,,,,,1742009925220,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,JNKJBEUPBCbgvbdNQJPk,2025-03-15T03:38:45.220Z
,,-0.1,1.01,,,,,,default,,,stream,,,,,,1742006327886,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,9odVmlbCI6UC444Y5p94,2025-03-15T02:38:47.886Z
,,0.4,1.01,,,,,,default,,,stream,,,,,,1742002727027,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,wov8vOfjfRj1VSZQzMdL,2025-03-15T01:38:47.027Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1741999126560,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,kqvrPdgZiweCDaD6GoWG,2025-03-15T00:38:46.560Z
,,0,1.01,,,,,,default,,,stream,,,,,,1741995524984,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,yr6tlsdQo6FNU6FYMRko,2025-03-14T23:38:44.984Z
